1	None	None	
2023-03-01 08:00:00	5.91	None	
2023-04-01 08:00:00	5.78	None	
2023-05-01 08:00:00	7.31	None	
2023-05-02 08:00:00	7.4	None	
2023-05-05 08:00:00	7.65	None	
2023-05-07 08:00:00	8.15	None	
2023-05-09 08:00:00	9.12	None	
2023-05-12 08:00:00	9.39	None	
2023-05-14 08:00:00	9.41	None	
2023-05-16 08:00:00	9.4	None	
2023-05-17 08:00:00	9.41	None	
2023-05-18 08:00:00	8.88	None	
2023-05-19 08:00:00	8.39	None	
2023-05-20 08:00:00	8.24	None	
2023-05-22 08:00:00	8.92	None	
2023-05-24 08:00:00	8.56	None	
2023-05-25 08:00:00	7.83	None	
2023-05-27 08:00:00	8.62	None	
2023-05-29 08:00:00	10.23	None	
2023-06-01 08:00:00	8.9	None	
2023-06-03 08:00:00	8.14	None	
2023-06-05 08:00:00	7.63	None	
2023-06-06 08:00:00	7.48	None	
2023-06-07 08:00:00	7.36	None	
2023-06-11 08:00:00	9.59	None	
2023-06-13 08:00:00	9.73	None	
2023-06-15 08:00:00	9.79	None	
2023-06-17 08:00:00	9.54	None	
2023-06-19 08:00:00	9.19	None	
2023-06-21 08:00:00	7.91	None	
2023-06-23 08:00:00	9.43	None	
2023-06-26 08:00:00	None	16.7	
2023-06-27 08:00:00	9.45	None	
2023-06-28 08:00:00	9.58	None	
2023-07-01 08:00:00	9.71	None	
2023-07-02 08:00:00	9.76	None	
2023-07-04 08:00:00	9.67	None	
2023-07-06 08:00:00	9.47	None	
2023-07-10 08:00:00	9.29	None	
2023-07-12 08:00:00	9.4	None	
2023-07-13 08:00:00	9.41	None	
2023-07-15 08:00:00	9.4	None	
2023-07-17 08:00:00	9.36	None	
2023-07-18 08:00:00	9.31	None	
2023-07-19 08:00:00	9.35	None	
2023-07-20 08:00:00	9.3	None	
2023-07-24 08:00:00	9.65	None	
2023-07-26 08:00:00	9.68	None	
2023-07-27 08:00:00	9.7	None	
2023-07-29 08:00:00	8.96	None	
2023-07-31 08:00:00	9.42	None	
2023-08-01 08:00:00	9.58	None	
2023-08-02 08:00:00	9.57	None	
2023-08-03 08:00:00	9.56	None	
2023-08-04 08:00:00	9.57	None	
2023-08-05 08:00:00	9.56	None	
2023-08-08 08:00:00	9.5	None	
2023-08-10 08:00:00	9.48	None	
2023-08-12 08:00:00	9.46	None	
2023-08-13 08:00:00	9.45	None	
2023-08-15 08:00:00	9.44	None	
2023-08-16 08:00:00	9.44	None	
2023-08-17 08:00:00	9.44	None	
2023-08-21 08:00:00	9.4	None	
2023-08-23 08:00:00	9.52	None	
2023-08-27 08:00:00	9.81	None	
2023-08-28 08:00:00	9.93	None	
2023-08-29 08:00:00	9.7	None	
2023-08-30 08:00:00	9.58	None	
2023-08-31 08:00:00	9.57	None	
2023-09-03 08:00:00	9.44	None	
2023-09-05 08:00:00	9.71	None	
2023-09-08 08:00:00	9.69	None	
2023-09-10 08:00:00	9.48	None	
2023-09-11 08:00:00	9.53	None	
2023-11-11 08:00:00	8.8	None	
2023-11-21 08:00:00	9.29	0.0	
2023-12-01 08:00:00	9.22	None	
2023-12-21 08:00:00	9.33	0.0	
2024-02-21 08:00:00	8.52	None	
2024-03-01 08:00:00	7.9	None	
2024-03-11 08:00:00	7.14	None	
2024-04-01 08:00:00	6.45	None	
2024-05-01 08:00:00	null	0.0
2024-05-02 08:00:00	10.05	0.0
2024-05-03 08:00:00	10.07	0.0
2024-05-04 08:00:00	10.1	0.0
2024-05-05 08:00:00	10.83	0.0
