1	None	None	
2023-03-11 08:00:00	5.75	None	
2023-04-21 08:00:00	6.57	None	
2023-05-04 08:00:00	6.65	None	
2023-05-08 08:00:00	6.8	None	
2023-05-11 08:00:00	7.21	None	
2023-05-14 08:00:00	7.24	None	
2023-05-15 08:00:00	7.2	None	
2023-05-16 08:00:00	7.18	None	
2023-05-18 08:00:00	7.24	None	
2023-05-19 08:00:00	7.24	None	
2023-05-21 08:00:00	7.26	None	
2023-05-22 08:00:00	7.28	None	
2023-05-23 08:00:00	7.14	None	
2023-05-26 08:00:00	7.33	None	
2023-05-27 08:00:00	7.53	None	
2023-05-28 08:00:00	8.38	None	
2023-05-31 08:00:00	8.3	None	
2023-06-03 08:00:00	7.87	None	
2023-06-05 08:00:00	7.57	None	
2023-06-06 08:00:00	7.43	None	
2023-06-07 08:00:00	7.32	None	
2023-06-08 08:00:00	7.0	None	
2023-06-12 08:00:00	7.23	None	
2023-06-17 08:00:00	7.01	None	
2023-06-18 08:00:00	7.26	None	
2023-06-20 08:00:00	7.21	None	
2023-06-21 08:00:00	7.26	None	
2023-06-22 08:00:00	7.41	None	
2023-06-24 08:00:00	7.6	None	
2023-06-25 08:00:00	7.91	None	
2023-06-26 08:00:00	None	16.7	
2023-06-28 08:00:00	8.93	None	
2023-06-29 08:00:00	9.24	None	
2023-07-01 08:00:00	9.7	None	
2023-07-02 08:00:00	9.74	None	
2023-07-03 08:00:00	9.71	None	
2023-07-05 08:00:00	9.53	None	
2023-07-06 08:00:00	9.45	None	
2023-07-07 08:00:00	9.34	None	
2023-07-08 08:00:00	9.34	None	
2023-07-09 08:00:00	9.29	None	
2023-07-11 08:00:00	9.14	None	
2023-07-12 08:00:00	8.91	None	
2023-07-13 08:00:00	8.65	None	
2023-07-15 08:00:00	8.21	None	
2023-07-18 08:00:00	7.91	None	
2023-07-19 08:00:00	None	0.0	
2023-07-20 08:00:00	7.79	None	
2023-07-23 08:00:00	7.78	None	
2023-07-26 08:00:00	7.65	None	
2023-07-27 08:00:00	7.6	None	
2023-07-28 08:00:00	7.5	None	
2023-07-31 08:00:00	7.63	None	
2023-08-01 08:00:00	7.7	None	
2023-08-02 08:00:00	7.7	None	
2023-08-03 08:00:00	7.75	None	
2023-08-04 08:00:00	7.83	None	
2023-08-05 08:00:00	7.86	None	
2023-08-12 08:00:00	7.26	None	
2023-08-13 08:00:00	7.24	None	
2023-08-14 08:00:00	7.3	None	
2023-08-16 08:00:00	7.4	None	
2023-08-18 08:00:00	7.53	None	
2023-08-21 08:00:00	7.57	None	
2023-08-22 08:00:00	7.5	None	
2023-08-24 08:00:00	7.48	None	
2023-08-25 08:00:00	7.45	None	
2023-08-26 08:00:00	7.46	None	
2023-08-29 08:00:00	7.75	None	
2023-09-01 08:00:00	8.44	None	
2023-09-02 08:00:00	8.59	None	
2023-09-04 08:00:00	8.65	None	
2023-09-05 08:00:00	8.53	None	
2023-09-06 08:00:00	8.37	None	
2023-09-09 08:00:00	7.67	None	
2023-09-11 08:00:00	7.07	None	
2023-10-11 08:00:00	8.42	None	
2023-11-11 08:00:00	6.4	None	
2023-11-21 08:00:00	6.13	0.0	
2023-12-01 08:00:00	5.53	None	
2023-12-21 08:00:00	5.53	None	
2024-02-21 08:00:00	6.54	None	
2024-03-01 08:00:00	7.2	None	
2024-03-11 08:00:00	7.04	None	
2024-04-21 08:00:00	9.62	null
2024-05-01 08:00:00	10.06	0.0
2024-05-02 08:00:00	10.18	0.0
2024-05-03 08:00:00	10.4	0.0
2024-05-04 08:00:00	10.59	0.0
2024-05-05 08:00:00	10.19	0.0
